SerialNumber,Category
12000,reward
12001,reward
12002,aversive
12003,reward
12004,reward
12005,aversive
12006,aversive
12007,reward
12008,reward
12009,reward
12010,reward
12011,reward
12012,reward
12013,reward
12014,aversive
12015,reward
12016,reward
12017,reward
12018,reward
12019,reward
12020,reward
12021,aversive
12022,reward
12023,reward
12024,aversive
12025,aversive
12026,reward
12027,reward
12028,reward
12029,reward
12030,reward
12031,reward
12032,reward
12033,aversive
12034,reward
12035,reward
12036,reward
12037,reward
12038,reward
12039,reward
12040,reward
12041,reward
12042,aversive
12043,reward
12044,aversive
12045,aversive
12046,reward
12047,reward
12048,reward
12049,reward
12050,aversive
12051,reward
12052,reward
12053,reward
12054,reward
12055,reward
12056,aversive
12057,reward
12058,reward
12059,aversive
